,Mã sản phẩm,Thương hiệu,Giá tiền,Đường kính mặt,Chống nước,Chất liệu mặt,Năng lượng sử dụng,Size dây,Chất liệu dây,Chất liệu vỏ,Kiểu dáng,Xuất xứ,Chế độ bảo hành
608,PA5007C,Philippe Auguste,12.502.800đ,40 mm,5 ATM,Tráng Sapphire,Automatic ( cơ tự động ),,Stainless Steel,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
609,PA5007D,Philippe Auguste,12.502.800đ,40 mm,5 ATM,Tráng Sapphire,Automatic ( cơ tự động ),,Stainless Steel,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
610,DM4617B5,Diamond D,5.130.000đ,28 mm,3 ATM,Sapphire,Quartz/Pin,14 mm,"Hợp kim , đính đá swarovsky","Hợp kim , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
611,QQ-S301J401Y,Q&Q Citizen,1.770.300đ,22 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
612,QQ-S278J200Y,Q&Q Citizen,1.323.000đ,40mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nam,China,Bảo hành quốc tế 01 năm
613,DD6015A,Diamond D,4.589.100đ,30 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Stainless Steel,Nữ,Áo,Bảo hành quốc tế 10 năm
614,AT-20335.41.01,Atlantic Swiss,9.801.000đ,28.5 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
615,AT-20335.41.07,Atlantic Swiss,12.087.000đ,"28.5 mm , mặt đính 8 viên kim cương tự nhiên",3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
616,AT-20335.41.07BK,Atlantic Swiss,12.087.000đ,"28.5 mm , mặt đính 8 viên kim cương tự nhiên",3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
617,AT-20335.41.21,Atlantic Swiss,9.144.000đ,28.5 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
618,AT-60347.43.31,Atlantic Swiss,8.892.000đ,40 mm,5ATM,Sapphire,Quartz,20mm,Thép không gỉ (mạ Demi PVD ),Thép không gỉ (mạ Demi PVD ),Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
619,AT-20335.41.51,Atlantic Swiss,9.144.000đ,29 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
620,AT-20335.41.51G,Atlantic Swiss,9.477.000đ,28.5 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
621,AT-20335.41.57G,Atlantic Swiss,11.763.000đ,"28.5 mm , mặt đính 8 viên kim cương tự nhiên.",3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
622,AT-20335.43.21G,Atlantic Swiss,10.782.000đ,28 mm,3 ATM,Sapphire,Quartz/Pin,14 mm,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
623,AT-20335.45.07,Atlantic Swiss,14.733.000đ,"28.5 mm , đính kim cương tự nhiên.",3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
624,AT-20335.45.31,Atlantic Swiss,11.142.000đ,29 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
625,AT-20335.45.37,Atlantic Swiss,14.733.000đ,29 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
626,AT-20335.45.51,Atlantic Swiss,11.142.000đ,28.5 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
627,AT-20335.45.57,Atlantic Swiss,14.193.000đ,"28.5 mm , mặt đính 8 viên kim cương tự nhiên.",3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
628,AT-29036.41.21MB,Atlantic Swiss,7.839.000đ,34 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
629,AT-29036.41.61MB,Atlantic Swiss,7.839.000đ,34 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
630,AT-29038.41.08MB,Atlantic Swiss,9.144.000đ,34 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
631,AT-29038.41.27MB,Atlantic Swiss,9.144.000đ,34 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
632,AT-29038.41.57MB,Atlantic Swiss,9.144.000đ,34 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
633,AT-29039.41.29MB,Atlantic Swiss,8.172.000đ,34 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
634,JL-1-2087B,Jacques Lemans,10.440.000đ,40 mm,5 ATM,Kính cứng,Automatic,20 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ nam,Áo,Bảo hành quốc tế 02 năm
635,AT-29040.41.67L,Atlantic Swiss,10.944.000đ,32 mm,3 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
636,AT-29355.41.29LBU,Atlantic Swiss,15.849.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
637,AT-29355.41.29LCM,Atlantic Swiss,15.849.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
638,AT-29355.41.29LRD,Atlantic Swiss,15.849.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
639,QQ-S283J204Y,Q&Q Citizen,1.323.000đ,30 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
640,AT-29355.41.29MB,Atlantic Swiss,16.335.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
641,AT-29355.45.27,Atlantic Swiss,19.404.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
642,DM36325IG-B,Diamond D,3.096.000đ,38mm,3ATM,Kính sapphire,Quartz/Pin,18mm,Dây da,"Stainless Steel mạ PVD , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
643,JL-1-1999H,Jacques Lemans,5.454.000đ,36 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),18 mm,Thép không gỉ mạ PVD + ceramic,Thép không gỉ mạ PVD,Đồng hồ Nữ,Áo,Bảo hành quốc tế 02 năm
644,AT-29355.45.29LBK,Atlantic Swiss,18.504.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
645,AT-29355.45.29LBU,Atlantic Swiss,18.504.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
646,AT-29355.45.29LCM,Atlantic Swiss,18.504.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
647,AT-29355.45.29LGN,Atlantic Swiss,18.504.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
648,AT-29355.45.29LRD,Atlantic Swiss,18.504.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Dây da chính hãng,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
649,AT-29355.45.29MB,Atlantic Swiss,20.124.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
650,AT-29355.45.37,Atlantic Swiss,19.404.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
651,AT-29355.41.29LGN,Atlantic Swiss,15.849.000đ,36 mm,5 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
652,AT-29037.45.21MB,Atlantic Swiss,9.882.000đ,33 mm,3 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
653,,Atlantic Swiss AT-29040.41.67MB,11.106.000đ,,,,,,,,,,Bảo hành quốc tế 02 năm
654,JL-1-1819B,Jacques Lemans,10.413.000đ,27 mm,5  ATM,Sapphire ( Coating ),Quartz (Điện tử),19 mm,Thép không gỉ + ceramic,Thép không gỉ,Đồng hồ Nữ,Áo,Bảo hành quốc tế 02 năm
655,DM86275IG,Diamond D,6.057.000đ,32 mm,3 ATM,Sapphire,Quartz/Pin,13 mm,Hợp kim thép,"Hợp kim , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
656,AT-29040.41.57MB,Atlantic Swiss,11.106.000đ,32 mm,3 ATM,Sapphire,Quartz/Pin,,Stainless Steel,Stainless Steel,Đồng Hồ Nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
657,JL-1-1850ZD,Jacques Lemans,3.699.000đ,38 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),20 mm,Dây da,Thép không gỉ mạ PVD,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
658,S-BU,Aries Gold AG-G7016,6.462.000đ,44.5 mm,5 ATM,Sapphire,Quartz/Pin,,High-Tech Silicon,Stainless Steel,Đồng hồ Nam,Singapore,Bảo hành quốc tế 02 năm
659,G-W,Aries Gold AG-L9023,7.362.000đ,37mm,5ATM,Sapphire,Automatic ( cơ tự động ),,Dây da,Thép không gỉ mạ PVD,Đồng Hồ Nam,Singapore,Bảo hành quốc tế 02 năm
660,QQ-S281J202Y,Q&Q Citizen,1.323.000đ,30mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
661,QQ-S284J202Y,Q&Q Citizen,1.501.200đ,40 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nam,China,Bảo hành quốc tế 01 năm
662,BS-17-23185-950,Bruno Sohnle,11.502.000đ,32.5 mm,3 ATM,Sapphire phủ chống chói,Quartz (Điện tử),,Thép không gỉ ( mạ Demi PVD ),Thép không gỉ (mạ Demi PVD ),Đồng hồ Nữ,Đức,Bảo hành quốc tế 02 năm
663,G-BR,Aries Gold AG-G1001,3.330.000đ,40 mm,3  ATM,Sapphire,Quartz/Pin,18 mm,Dây da,Thép không gỉ mạ PVD,Đồng hồ nam,Singapore,Bảo hành quốc tế 02 năm
664,JL-1-1851ZB,Jacques Lemans,2.844.000đ,28 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),14 mm,Dây da,Thép không gỉ,Nữ,Áo,Bảo hành quốc tế 02 năm
665,JL-N-209ZL,Jacques Lemans,6.498.000đ,39 mm,5  ATM,perspex ( Kính cứng chịu lực ),Quartz (Điện tử),20 mm,Dây da,Thép không gỉ mạ PVD,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
666,CT-NH8350-08A,Citizen,4.779.000đ,40 mm,5 ATM,Mineral (Kính cứng chịu lực),Automatic (Cơ tự động),20 mm,Dây da,Stainless Steel,Đồng hồ Nam,China,Bảo hành quốc tế 01 năm
667,JL-1-1906H,Jacques Lemans,7.281.000đ,30X37 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),21 mm,Thép không gỉ,Thép không gỉ mạ Demi PVD,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
668,JL-LP-133H,Jacques Lemans,7.803.000đ,34 mm,10  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),17 mm,Thép không gỉ mạ Demi PVD,"Thép không gỉ mạ Demi PVD , đính đá",Đồng hồ Nữ,Áo,Bảo hành quốc tế 02 năm
669,QQ-S306J202Y,Q&Q Citizen,1.674.000đ,40 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 01 năm
670,QQ-S288J206Y,Q&Q Citizen,1.501.200đ,40 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nam,China,Bảo hành quốc tế 01 năm
671,DD6015B,Diamond D,6.248.700đ,30 mm,5 ATM,Sapphire,Quartz/Pin,,Thép không gỉ,Stainless Steel,Nữ,Áo,Bảo hành quốc tế 10 năm
672,JL-1-1947E,Jacques Lemans,6.498.000đ,30mm,10 ATM,hardened crystex crystal (Kính cứng ),Quatz ( Máy pin ),,Thép không gỉ mạ PVD + ceramic,Thép không gỉ mạ PVD,Nữ,Áo,Bảo hành quốc tế 02 năm
673,S-MP,Aries Gold AG-L58010L,7.272.000đ,34.8 mm,5  ATM,Sapphire,Quartz/Pin,18 mm,Thép không gỉ + ceramic,Thép không gỉ,Đồng hồ nữ,Singapore,Bảo hành quốc tế 02 năm
674,JL-1-1117.1EN,Jacques Lemans,7.146.000đ,44 mm,20  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),22 mm,Thép không gỉ,Thép không gỉ,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
675,AT-50354.45.31,Atlantic Swiss,12.582.000đ,42mm,5ATM,Sapphire,Quartz,22mm,Dây da,Thép  không gỉ mạ PVD,Đồng hồ Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
676,QQ-S293J402Y,Q&Q Citizen,1.971.000đ,30 mm,5 Bar,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
677,QQ-S299J202Y,Q&Q Citizen,1.614.600đ,17 mm,5 ATM,Mineral (Kính cứng),Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
678,QQ-S288J212Y,Q&Q Citizen,1.501.200đ,40 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nam,China,Bảo hành quốc tế 01 năm
679,JL-1-1852ZE,Jacques Lemans,4.563.000đ,38 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),20 mm,Thép không gỉ mạ Demi PVD,Thép không gỉ mạ Demi PVD,Nam,Áo,Bảo hành quốc tế 02 năm
680,JL-1-2087E,Jacques Lemans,11.700.000đ,40 mm,5 ATM,Kính cứng,Automatic,20 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ nam,Áo,Bảo hành quốc tế 02 năm
681,JL-1-2087J,Jacques Lemans,13.050.000đ,40 mm,5 ATM,Kính cứng,Automatic,20 mm,Thép không gỉ,Thép không gỉ,Đồng hồ nam,Áo,Bảo hành quốc tế 02 năm
682,DM36325IG-R,Diamond D,3.096.000đ,38mm,3ATM,Kính sapphire,Quartz/Pin,18mm,Dây da,"Hợp kim mạ PVD , đính đá swarovsky",Nữ,China,Bảo hành quốc tế 10 năm
683,QQ-S293J008Y,Q&Q Citizen,1.971.000đ,30 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
684,JL-1-1851ZA,Jacques Lemans,2.844.000đ,28 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),14 mm,Dây da,Thép không gỉ,Nữ,Áo,Bảo hành quốc tế 02 năm
685,QQ-Q415-010Y,Q&Q Citizen,950.400đ,,3 ATM,Krysterna crystal ( kính cứng ),Quartz/Pin,,Hợp kim thép,Hợp kim thép,Đồng hồ nữ,China,Bảo hành quốc tế 01 năm
686,QQ-S327J201Y,Q&Q Citizen,1.539.000đ,30 mm,5 ATM,Mineral (Kính cứng chịu lực),Quartz/Pin,,Stainless Steel,Stainless Steel,Đồng hồ Nữ,China,Bảo hành quốc tế 01 năm
687,QQ-QZ00J104Y,Q&Q Citizen,658.800đ,38 mm,3ATM,Kính cứng chịu lực,Quartz/Pin,,Dây da,Hợp kim thép,Đồng hồ Nam,China,Bảo hành quốc tế 01 năm
688,CT-BE9174-55E,Citizen,4.095.000đ,39mm,5ATM,Mineral (Kính cứng chịu lực),Quatz ( Máy pin ),,Thép không gỉ ( mạ Demi PVD ),Thép không gỉ (mạ Demi PVD ),Đồng hồ Nam,Nhật Bản,Bảo hành quốc tế 01 năm
689,AT-29037.45.21L,Atlantic Swiss,8.496.000đ,33mm,3 ATM,Sapphire,Quartz (Điện tử),,Dây da,Thép không gỉ mạ PVD,Đồng hồ Nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
690,JL-1-1862R,Jacques Lemans,5.427.000đ,40 mm,10 ATM,Hardened crystex crystal (Kính cứng ),Quartz/Pin,,Stainless Steel,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
691,AT-62341.43.21,Atlantic Swiss,7.515.000đ,40 mm,3ATM,Sapphire,Quartz,20mm,Dây da,Thép không gỉ (mạ Demi PVD ),Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
692,AT-62341.45.31,Atlantic Swiss,7.551.000đ,40mm,3ATM,Sapphire,Quartz,20mm,Dây da,Thép  không gỉ mạ PVD,Đồng hồ Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
693,JL-N-215.1ZJ,Jacques Lemans,5.193.000đ,40 mm,5  ATM,perspex ( Kính cứng chịu lực ),Quartz (Điện tử),20 mm,Dây da,Thép không gỉ,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
694,QQ-S328J211Y,Q&Q Citizen,1.755.000đ,40 mm,5 ATM,Mineral (Kính cứng chịu lực),Quartz/Pin,,Stainless Steel,Stainless Steel,Nam,China,Bảo hành quốc tế 01 năm
695,JL-1-1947F,Jacques Lemans,6.498.000đ,30mm,10 ATM,hardened crystex crystal (Kính cứng ),Quatz ( Máy pin ),,Thép không gỉ mạ PVD + ceramic,Thép không gỉ mạ PVD,Nữ,Áo,Bảo hành quốc tế 02 năm
696,G-W-L,Aries Gold AG-L5032Z,4.252.500đ,26 mm,3 ATM,Sapphire,Quartz/Pin,16 mm,Dây da,Thép không gỉ mạ PVD,Đồng hồ nữ,Singapore,Bảo hành quốc tế 02 năm
697,DM61045,Diamond D,3.726.000đ,23*23 mm,3 ATM,Kính sapphire,Quartz,,Hợp kim,"Hợp kim , đính đá swarovsky",Nữ,China,Bảo hành quốc tế 10 năm
698,DM3635L5W-W,Diamond D,3.726.000đ,25*30 mm,3 ATM,Kính sapphire,Quartz,,dây da,"Hợp kim , đính đá swarovsky",Nữ,China,Bảo hành quốc tế 10 năm
699,JL-1-2126F,Jacques Lemans,3.888.000đ,42 mm,5 ATM,Krysterna crystal ( kính cứng ),Quartz/Pin,21 mm,Dây da chính hãng,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
700,AT-62341.43.31,Atlantic Swiss,7.515.000đ,40 mm,3ATM,,Quartz,,Dây da,Thép không gỉ,Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
701,AT-62341.45.21,Atlantic Swiss,7.551.000đ,40 mm,3ATM,Sapphire,Quartz,20mm,Dây da,Thép không gỉ mạ PVD,Đồng hồ Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
702,JL-1-2124H,Jacques Lemans,3.888.000đ,40 mm,5 ATM,Krysterna crystal ( kính cứng ),Quartz/Pin,20 mm,Dây da chính hãng,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
703,CT-BI1050-56A,Citizen,2.808.000đ,40 mm,3 ATM,Mineral Crystal,Quartz (Điện tử),,Thép không gỉ,Stainless Steel,Đồng hồ Nam,Nhật Bản,Bảo hành quốc tế 01 năm
704,JL-1-2087F,Jacques Lemans,11.700.000đ,40 mm,5 ATM,Kính cứng,Automatic,20 mm,Thép không gỉ,Thép không gỉ,Đồng hồ nam,Áo,Bảo hành quốc tế 02 năm
705,QQ-S305J201Y,Q&Q Citizen,1.422.000đ,28 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nữ,China,Bảo hành quốc tế 01 năm
706,QQ-S306J312Y,Q&Q Citizen,1.674.000đ,40 mm,5 ATM,Mineral,Quartz (Điện tử),,Dây da,,Nam,,Bảo hành quốc tế 01 năm
707,AT-29040.41.27MB,Atlantic Swiss,11.106.000đ,32 mm,3 ATM,Sapphire,Quartz/Pin,,Stainless Steel,Stainless Steel,Đồng Hồ Nữ,Thụy Sỹ,Bảo hành quốc tế 02 năm
708,JL-1-1842.1I,Jacques Lemans,4.671.000đ,32 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),16 mm,Thép không gỉ ( mạ Demi PVD ),Thép không gỉ mạ Demi PVD,Đồng hồ Nữ,Áo,Bảo hành quốc tế 02 năm
709,CT-NH8360-80J,Citizen,5.463.000đ,40.8mm,5ATM,Mineral (Kính cứng chịu lực),Automatic (Cơ tự động),,Thép không gỉ,Thép không gỉ,Đồng hồ Nam,China,Bảo hành quốc tế 01 năm
710,G-BKG,Aries Gold AG-G1027,5.292.000đ,44mm,5ATM,Sapphire,Quatz ( Máy pin ),,Dây da,Thép không gỉ mạ PVD,Đồng hồ Nam,Singapore,Bảo hành quốc tế 02 năm
711,AT-50354.45.21,Atlantic Swiss,12.582.000đ,42mm,5ATM,Sapphire,Quartz,22mm,Dây da,Thép  không gỉ mạ PVD,Đồng hồ Nam,Thụy Sỹ,Bảo hành quốc tế 02 năm
712,JL-1-1654I,Jacques Lemans,5.715.000đ,40 mm,10  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),20 mm,Thép không gỉ,Thép không gỉ,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
713,DM3635L5W-B,Diamond D,3.726.000đ,25x30mm,3 ATM,Kính sapphire,Quartz,,dây da,"Hợp kim , đính đá swarovsky",Nữ,China,Bảo hành quốc tế 10 năm
714,JL-1-2125D,Jacques Lemans,4.671.000đ,40 mm,5 ATM,Krysterna crystal ( kính cứng ),Quartz/Pin,20 mm,Dây da chính hãng,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
715,JL-1-2087C,Jacques Lemans,10.440.000đ,40 mm,5 ATM,Kính cứng,Automatic,20 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ nam,Áo,Bảo hành quốc tế 02 năm
716,JL-1-1811A,Jacques Lemans,3.888.000đ,30 mm,5  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),16 mm,Thép không gỉ,Thép không gỉ,Nữ,Áo,Bảo hành quốc tế 02 năm
717,JL-1-1830B,Jacques Lemans,5.715.000đ,40 mm,20  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),20 mm,Dây da,Thép không gỉ,Nam,Áo,Bảo hành quốc tế 02 năm
718,RG-W,Aries Gold AG-G1022,4.032.000đ,40 mm,5 ATM,Kính Saphire,Quartz/Pin,20 mm,Dây da,Thép không gỉ,Nam,Singapore,Bảo hành quốc tế 02 năm
719,DM4617B5IG,Diamond D,6.147.000đ,28 mm,3 ATM,Kính sapphire,Quartz/Pin,29 mm,"Hợp kim , đính đá swarovsky","Hợp kim , đính đá swarovsky",Đồng hồ Nữ,China,Bảo hành quốc tế 10 năm
720,JL-LP-132F,Jacques Lemans,5.193.000đ,34 mm,10  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),17 mm,Thép không rỉ,Thép không rỉ,Đồng hồ Nữ,Áo,Bảo hành quốc tế 02 năm
721,JL-1-1862ZA,Jacques Lemans,4.275.000đ,40 mm,10 ATM,Hardened crystex crystal (Kính cứng ),Quartz/Pin,20 mm,Dây da chính hãng,Thép không gỉ,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
722,QQ-S278J202Y,Q&Q Citizen,1.323.000đ,40 mm,5 ATM,Kính cứng chịu lực,Quartz/Pin,,Thép không gỉ,Thép không gỉ,Nam,China,Bảo hành quốc tế 01 năm
723,JL-1-2126A,Jacques Lemans,3.888.000đ,42 mm,5 ATM,Krysterna crystal ( kính cứng ),Quartz/Pin,21 mm,Dây da chính hãng,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
724,JL-1-2125B,Jacques Lemans,3.888.000đ,40 mm,5 ATM,Krysterna crystal ( kính cứng ),Quartz/Pin,20 mm,Dây da chính hãng,Stainless Steel,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
725,JL-1-1945B,Jacques Lemans,5.715.000đ,42 mm,10  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),21 mm,Dây da,Thép không gỉ,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
726,BS-17-23189-292,Bruno Sohnle,11.817.000đ,33.5 mm,3 ATM,Sapphire phủ chống chói,Quartz (Điện tử),,Thép không gỉ ( mạ Demi PVD ),Thép không gỉ (mạ Demi PVD ),Đồng hồ Nữ,Đức,Bảo hành quốc tế 02 năm
727,JL-1-1859B,Jacques Lemans,4.275.000đ,40 mm,10  ATM,hardened crystex crystal (Kính cứng ),Quartz (Điện tử),20 mm,Dây da,Thép không gỉ,Đồng hồ Nam,Áo,Bảo hành quốc tế 02 năm
