,Giá tiền,Mã sản phẩm,Nhãn hiệu,Nguồn gốc,Kiểu máy,Kích cỡ,Chất liệu vỏ,Chất liệu dây,Chất liệu kính,Độ chịu nước,Chức năng khác,Bảo hiểm,Bảo hành quốc tế,Giới tính
543,6.330.000,FGW01001W0,Orient,Nhật Bản,Quartz,38 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
544,7.510.000,FAC0000DD0,Orient,Nhật Bản,Automatic,"40,5 mm",Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
545,5.560.000,OP995.9AGSK-T,Olym Pianus,Nhật Bản,Automatic,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,"Đồng hồ 24h, Open heart, dạ quang",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
546,18.860.000,RE-AT0006L00B,Orient,Nhật Bản,Automatic,39.3 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,100M,"Open heart, dạ quang, kim đo năng lượng",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
547,8.050.000,AT2393-17H,Citizen,Nhật Bản,Eco-drive,40mm,Thép - PVD vàng hồng,Da,Kính cứng chịu lực,100M,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
548,5.410.000,BM6772-05A,Citizen,Nhật Bản,Eco-Drive,37mm,Thép - PVD vàng,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
549,5.410.000,OP990-141AMSK-T,Olym Pianus,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng (cong lồi),30 m,"Lên cót tay , dừng kim giây",5 năm cả lỗi người dùng tại Xwatch,2 năm tiêu chuẩn chính hãng,Nam
550,8.250.000,EM0423-81A,Citizen,Nhật Bản,Eco-Drive,28x30mm,Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
551,4.400.000,EL3048-53E,Citizen,Nhật Bản,Quartz (Pin),31 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
552,13.860.000,EG7072-19X,,Nhật Bản,Eco-Drive (Năng Lượng Ánh Sáng),31 mm,Super Titanium,Dây da,Kính sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
553,6.150.000,FE6093-87X,Citizen,Nhật Bản,Eco-Drive,33 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính cứng,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
554,15.700.000,96B251,Bulova,Hoa Kỳ,Quartz,43mm,Thép không gỉ,Dây da,Kính Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
555,8.050.000,FAC00007W0,Orient,Nhật Bản,Automatic,40.5 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng (Siêu cong),30 m,"Lịch ngày, hacking Stop",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
556,6.290.000,OP9920-4AGSK-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
557,3.700.000,EJ6102-56E,Citizen,Nhật Bản,Quartz,25mm,Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
558,5.880.000,FE1081-59B,,Nhật Bản,Eco - Drive,29.5 mm,Thép,Thép,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
559,19.460.000,RE-AT0003S00B,Orient,Nhật Bản,Automatic,39.3 mm,Thép,Thép,Kính Sapphire,100M,"Open heart, kim do năng lượng, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
560,4.020.000,OPA58031MS-GL-D,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),36.4x37 mm,Thép không gỉ,Dây da,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
561,3.220.000,OP5708MS-T,Olym Pianus,Nhật Bản,Quartz,40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,Lịch Ngày.,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
562,5.230.000,OP990-081AMSK-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Sapphire,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
563,7.200.000,CA4330-81L,Citizen,Nhật Bản,Eco-Drive,"44,8mm",Thép không gỉ,Thép không gỉ,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
564,9.750.000,BM6974-51A,Citizen,Nhật Bản,Eco-Drive,40mm,Thép - PVD vàng,Thép - PVD vàng,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
565,3.180.000,OPA58029MK-GL-T,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),40mm,Thép không gỉ/Mạ vàng PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
566,1.870.000,F.1.1135.02,Freelook,Pháp,Quartz (Pin),,Thép không gỉ 316L,Dây da,Kính Cứng,30m,"Giờ, phút, giây",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
567,4.300.000,EZ6365-56E,,Nhật Bản,Quartz,22x14 mm,Thép - PVD Ion đen,Thép - PVD Ion đen,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
568,4.290.000,OPA28015DLK-V,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),22.730mm,Thép không gỉ/Mạ PVD,Thép không gỉ/Mạ PVD,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
569,3.550.000,FER27004W0,Orient,Nhật Bản,Automatic (Tự động),41 mm,Thép không gỉ 316L,Dây da,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
570,1.870.000,F.4.1058.01,Freelook,Pháp,Quartz (Pin),30mm,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
571,7.490.000,OP99141-56AGSK-T-CV,Olym Pianus,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
572,4.050.000,SG8886.4601AT,SRWatch,Nhật Bản,Japan Automatic Movement,40mm,Thép không gỉ 316L/Mạ vàng PVD,Dây da,Kính cong Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
573,15.120.000,C4706/1,Candino,Thuỵ Sĩ,Máy Automatic (ETA 2824-2),41mm,Thép không gỉ 316L mạ vàng,Thép không gỉ mạ vàng,Kính Sapphire,100m,"Lịch ngày, dạ quang",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
574,5.639.600,OPA58012-04DMS-T-CS,Olympia Star,Thụy Sĩ,Swiss quartz (Pin),38 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
575,4.600.000,BJ6501-10L,Citizen,Nhật Bản,Eco-drive,40.5mm,Thép,Dây da,Kính cứng chịu lực,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
576,4.720.000,SAB0B005BB,Orient,Nhật Bản,Automatic,41 mm,Thép - PVD vàng,Thép - PVD vàng,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
577,4.200.000,OPA58012-04MK-T,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),38 mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,30M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
578,8.510.000,BM9014-82A,Citizen,Nhật Bản,Eco-Drive,37 mm,Thép không gỉ 316L,Thép không gỉ 316L / Mạ vàng PVD,Kính Sapphire,30 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
579,3.450.000,BI5060-51L,Citizen,Nhật Bản,Quartz,39mm,Thép không gỉ,Thép không gỉ,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
580,8.550.000,OP9908-88AGSK-XL,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30m,"Lên cót tay, dừng kim giây, đồng hồ trữ cót",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
581,4.000.000,OPA58087MS-D,Olympia Star,Thụy Sỹ,Swiss quartz (Pin),40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
582,7.850.000,SG18181.1202STAR,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),40mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
583,5.760.000,BM7400-80L,Citizen,Nhật Bản,Eco-drive,40mm,Thép không gỉ,Thép không gỉ,Kính cứng chịu lực,50,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
584,6.950.000,MK8635,,Hoa Kỳ,Quartz,42 mm,Thép không gỉ,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
585,4.770.000,BM6750-08A,Citizen,Nhật Bản,Eco-Drive,40mm,Thép không gỉ,Da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
586,4.990.000,SUR641P1,Seiko,Nhật Bản,Quartz (Máy Pin),29 mm,Thép không gỉ,Thép không gỉ,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
587,1.750.000,SG1055.4102TE,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
588,3.650.000,OP2500LSK-N,Olym Pianus,Nhật Bản,Quartz,30mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
589,3.830.000,OPA58061MSK-T,Olympia Star,Thụy Sỹ,Quartz,40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
590,3.500.000,EU6082-01A,,Nhật Bản,Quartz,32 mm,Thép - PVD vàng,Dây da,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
591,8.530.000,OP990-45ADDGSK-T,Olym Pianus,Nhật Bản,Automatic (Máy cơ),42mm,Thép không gỉ 316L/Mạ màu PVD,Thép không gỉ,Kính Sapphire,50M,"Lịch ngày, lịch thứ, đính đá",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
592,7.390.000,OP99141-71.1AGK-T-LM,Olym Pianus,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính Sapphire,30 m,Open heart,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
593,2.000.000,SG1071.1202TE,SRWatch,Nhật Bản,Quartz,40mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
594,8.090.000,F6845/3,,Tây Ban Nha,Automatic (Máy cơ),42 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,50m,Open heart,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
595,5.400.000,AN3600-59L,,Nhật Bản,Quartz,44 mm,Thép,,Kính Cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
596,4.330.000,OP2462DLS-T,Olym Pianus,Nhật Bản,Japan movement (Chạy pin),19.4*24.9mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
597,6.200.000,BM6964-55E,Citizen,Nhật Bản,Eco-Drive,"43,6mm",Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
598,2.000.000,SG1054.4602TE,SRWatch,Nhật Bản,Japan Quartz,40mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
599,5.100.000,F16653/4,,Tây Ban Nha,Quartz,"41,00 / 40,00 mm",Thép không gỉ 316L,,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
600,4.030.000,F16234/H,,Tây Ban Nha,Quartz,"36,00 / 36,50 mm",Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50M,"Lịch ngày, lịch thứ, đồng hồ 24H",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
601,4.089.000,SKS537P1,Seiko,Nhật Bản,Quartz (Máy Pin),43 mm,Thép không gỉ,Thép không gỉ,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
602,8.630.000,SNE451P1,Seiko,Nhật Bản,Quartz Solar,43.5mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,200m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
603,2.850.000,SL5005.4502BL,SRWatch,Nhật Bản,Quartz,34mm,Thép không gỉ 316L / Mạ vàng PVD,Dây da,Kính Sapphire,50m,"Lịch ngày, đính đá",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
604,31.620.000,OG358.33AGR-GL,Ogival,Thụy Sĩ,Automatic,40mm,Thép không gỉ/Mạ vàng PVD,Dây da,Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
605,2.230.000,OP56771MK-GL-T,Olym Pianus,Nhật Bản,Japan movement (Chạy pin),37mm,Thép không gỉ/Mạ PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
606,12.180.000,SAK00004B0,Orient,Nhật Bản,Automatic,42.5mm,Thép không gỉ 316L,Dây Da,Kính Sapphire,50 m,"Lịch ngày, lịch thứ, Sun and Moon",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
607,8.490.000,NH7501-85A,Citizen,Nhật Bản,Automatic (Máy cơ),40 mm,Thép không gỉ 316L,Thép không gỉ,Kính sapphire,50m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
608,6.970.000,OG385-031LK-T,Ogival,Thụy Sĩ,Quartz,27 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
609,4.440.000,F20386/2,,Tây Ban Nha,Quartz,30.5 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
610,9.614.000,EM0284-51D,Citizen,Nhật Bản,Eco-Drive,26 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
611,12.500.000,EM0642-87P,Citizen,Nhật Bản,Eco-Drive,31.5 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
612,4.700.000,FE6011-14A,,Nhật Bản,Eco - Drive,33.3 mm,Thép,Thép,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
613,7.700.000,MK2249,,Hoa Kỳ,Quartz,39 mm,Thép không gỉ,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
614,6.100.000,NH8375-82E,Citizen,Nhật Bản,Automatic,42mm,Thép - PVD Ion đen,Thép - PVD Ion đen,Kính cứng chịu lực,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
615,19.970.000,OG30328L29SK-T,Ogival,Thụy Sỹ,Automatic,28 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
616,6.450.000,SG60061.1102SM,SRWatch,Nhật Bản,Japan Quartz (Máy pin),40mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,"Lịch ngày, lịch thứ, Moon Phase",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
617,2.510.000,F.7.1055.05,Freelook,Pháp,Quartz (Pin),,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
618,3.270.000,FUX00005W0,Orient,Nhật bản,Đồng hồ điện tử,,Thép không gỉ 316L,Thép không gỉ 316L,Mặt kính cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
619,3.310.000,OP68021-05MK-GL-T,Olym Pianus,Nhật Bản,Japan movement (Chạy pin),38mm,Thép không gỉ/Mạ PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
620,1.760.000,F.3.1036.02,Freelook,Pháp,Quartz (Pin),35mm,Thép không gỉ,Dây da,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
621,5.900.000,FTW04007D0,Orient,Nhật Bản,Quartz Chronograph,44 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
622,6.016.000,SSB201P1,Seiko,Nhật Bản,Quartz,43 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
623,5.230.000,OP993-8AGSK-T,Olym Pianus,Nhật Bản,Automatic (Cơ),40 mm,Thép không gỉ 316L mạ vàng PVD,Thép không gỉ 316L mạ vàng PVD,Kính Sapphire,30M,"Lên cót tay, dừng kim giây",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
624,7.880.000,OG385-021GSK-T,Ogival,Thụy Sỹ,Quartz,36 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
625,9.410.000,SSC585P1,Seiko,Nhật Bản,Solar,"43,6 mm",Thép,Thép,Kính Sapphire,100M,Bấm giờ,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
626,5.150.000,AN8122-51E,Citizen,Nhật Bản,Quartz,44mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,100m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
627,10.500.000,BL5551-14H,Citizen,Nhật Bản,Eco-drive,43mm,Titanium,Da,Kính cứng chịu lực,100M,"Perpetual Calendar, Dual Time (Second Time Zone)",5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
628,4.510.000,F16756/2,,Tây Ban Nha,Quartz,"39,00 / 36,50 mm",Thép không gỉ 316L,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
629,5.500.000,NH8353-00H,Citizen,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,50 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
630,5.875.000,SSB380P1,Seiko,Nhật Bản,Quartz,41.5 mm,Thép không gỉ 316L / Mạ vàng PVD,Thép không gỉ 316L / Mạ vàng PVD,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
631,7.460.000,SWR034P1,Seiko,Nhật Bản,Quartz,32 mm,Thép không gỉ,Thép không gỉ,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
632,1.870.000,F.1.1135.04,Freelook,Pháp,Quartz (Pin),,Thép không gỉ 316L,Dây da,Kính Cứng,30m,"Giờ, phút, giây",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
633,6.940.000,SRPD63K1,Seiko,Nhật Bản,Automatic,42.5 mm,Thép không gỉ 316L,Thép không gỉ 316L,Harlex Seiko,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
634,5.300.000,FE6124-85A,Citizen,Nhật Bản,Eco - Drive,33.5 mm,Thép,Thép,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
635,8.250.000,CA0666-82E,Citizen,Nhật Bản,Eco - Drive,"42,5mm",Thép không gỉ,Thép không gỉ,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
636,8.500.000,98S143,Bulova,Hoa Kỳ,Quartz,26 mm,Thép không gỉ - Mạ PVD,Thép không gỉ - Mạ PVD,Kính Sapphire,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nữ
637,6.080.000,MK3833,,Hoa Kỳ,Quartz,26 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
638,11.785.000,FC8008-88D,Citizen,Nhật Bản,Eco - Drive,35.8 mm,Thép không gỉ 316L,Thép không gỉ,Kính Sapphire,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
639,13.830.000,SSA794J1,Seiko,Nhật Bản,Automatic,34mm,Thép không gỉ 316L/Mạ vàng hồng PVD,Thép không gỉ 316L/Mạ vàng hồng PVD,Kính Sapphire,100 m,"Open heart, lên cót tay",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
640,4.330.000,C4487/2,Candino,Thuỵ Sĩ,Máy Quartz (Pin),38mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
641,7.450.000,SG19193.4901,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),42mm,Thép không gỉ/Mạ vàng hồng PVD,Dây da,Kính Sapphire,50m,"Dạ quang, Skeleton",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
642,15.700.000,96B258,Bulova,Hoa Kỳ,Quartz,43mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
643,7.650.000,SG18181.1101STAR,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),40mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
644,11.280.000,SRPE17J1,Seiko,Nhật Bản,Automatic,40.5 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50M,"Lịch ngày, lên cót tay",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
645,8.450.000,SSA179K1,Seiko,Nhật Bản,Automatic,45 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
646,5.880.000,FE1140-51X,Citizen,Nhật Bản,Eco-Drive,29.5 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
647,9.500.000,EM0554-82X,Citizen,Nhật Bản,Eco-drive,"32,3mm",Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
648,4.940.000,OP992.7AGSK-D,Olym Pianus,Nhật Bản,Automatic,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
649,4.480.000,OPA28019LW-GL-Đ,Olympia Star,Thụy Sỹ,Quartz (Pin),31mm,Thép không gỉ / Mạ PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
650,5.700.000,SXGP64P1,Seiko,Nhật Bản,Quartz,22 mm,Thép - PVD Vàng,Thép - PVD Vàng,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
651,8.930.000,FE2072-54A,Citizen,Nhật Bản,Eco-Drive,31mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
652,5.440.000,OP990-389AMS-D,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50m,"Open heart, Moon phase",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
653,5.330.000,OP992-8AGSK-T,Olym Pianus,Nhật Bản,Automatic,42 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
654,6.900.000,AR1135-10E,Citizen,Nhật Bản,Eco-Drive,39 mm,Thép không gỉ 316L,Dây da,Kính sapphire,30m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
655,8.985.000,CA7060-88E,Citizen,Nhật Bản,Eco - Drive (Năng lượng ánh sáng),42mm,Thép không gỉ,Thép không gỉ,Kính cứng,50m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
656,3.900.000,FUG1R005W6,Orient,Nhật Bản,Quartz,40.5 mm,Thép không gỉ,Da thật,Mineral glass,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
