,Thương hiệu,Giá tiền,Mã sản phẩm,giới tính,kiểu dáng,loại máy,phong cách,mặt kính,đường kính,chất liệu vỏ,độ dày,chất liệu dây,độ chịu nước,tính năng khác,bảo hành chính hãng,màu mặt,xuất xứ thương hiệu,bảo hành duy anh
880,LONGINES,45.280.800,L4.905.2.11.7,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,8mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,"Lịch ngày. Caliber L892, 25.200vph, trữ cót 64h",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
881,SEIKO,7.857.000,SRPD65K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Hardlex Crystal,42.5mm,Thép không gỉ mạ vàng công nghệ PVD,13.4mm,Thép không gỉ mạ công nghệ PVD,100m,"Lịch ngày, lịch thứ. Caliber 4R36, 24 chân kính, trữ cót 41h.",1 năm quốc tế,Đen,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
882,LONGINES,77.625.000,L2.786.4.56.6,Nam,Mặt tròn,Automatic Chronograph (Máy cơ tự động bấm giờ thể thao),Thể thao,Sapphire,41mm,Thép không gỉ 316L,11mm,Thép không gỉ 316L,50m,Lịch ngày.,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
883,CITIZEN,Liên hệ,AI7008-81X,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thể thao,Mặt kính cứng,43mm,Thép không gỉ 316L,12mm,Thép không gỉ 316L,100m,Lịch ngày. Chronograph.,1 năm quốc tế,Da Cam,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
884,ORIENT,4.428.500,FAC05007D0,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,40.5mm,Thép không gỉ 316L,11.5mm,Dây da,50m,Lịch ngày. Không dạ quang,1 năm quốc tế,Xanh lam,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
885,LONGINES,92.862.000,L4.691.6.32.0,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,33mm,Vàng 18K,6mm,Dây da,30m,,2 năm quốc tế,Vàng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
886,ORIENT,10.302.000,RA-AA0E03L19B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao sang trọng,Mặt kính cứng,43.5mm,Thép không gỉ 316L,13.9mm,Thép không gỉ 316L,200m,"Lịch thứ, Lịch ngày. Cal.F6922, 21.600vph, 22 chân kính, trữ cót 40h. Đồng hồ bản đồ thế giới. Phiên bản kỷ niệm 70 năm thành lập Orient",1 năm quốc tế,Xanh lam,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
887,DANIEL WELLINGTON,5.427.000,DW00100625,Nữ,Mặt chữ nhật,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,20mm - 26mm,Thép không gỉ mạ vàng công nghệ PVD,6mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
888,DANIEL WELLINGTON,5.409.000,DW00100028-0214DW,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,40mm,Thép không gỉ 316L,,Dây da,30m,"Thương hiệu Thụy Điển, máy Nhật Bản",2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
889,LONGINES,77.625.000,L6.131.0.71.6,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Sapphire,30mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,Vỏ đính kim cương. Sapphire chống lóa.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
890,OLYM PIANUS,6.579.000,OP990-143AGS-GL-X,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,,2 năm quốc tế,Xanh lam,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
891,TISSOT,11.025.000,T101.417.11.031.00,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao sang trọng,Sapphire,41mm,Thép không gỉ 316L,10.7mm,Thép không gỉ 316L,100m,Lịch ngày.,2 năm Quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
892,TISSOT,53.550.000,T931.207.41.336.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,35mm,Thép không gỉ 316L/ Vàng 18K,10.9mm,Thép không gỉ 316L,100m,"Lịch ngày. Caliber Powermatic 80.111, 23 chân kính, trữ cót 80h. Sapphire chống lóa. Khối lượng 98g. Mặt số đính 44 viên kim cương tổng 0.0704 carat",2 năm quốc tế,Xám,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
893,HAMILTON,Liên hệ,H82385340,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Sapphire,40mm,Thép không gỉ 316L,,Dây cao su,100m,"Lịch ngày. Caliber H-10, 25 chân kính, trữ cót 80h.",2 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
894,TISSOT,8.190.000,T129.410.36.261.00,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Sapphire,42mm,Thép không gỉ mạ vàng công nghệ PVD,8.1mm,Dây da,50m,Lịch ngày. EOL (battery end-of-life indicator). Khối lượng 56g.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
895,CITIZEN,16.477.250,EM0608-42X,Nữ,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,31.1mm,Thép không gỉ mạ vàng công nghệ PVD,9.4mm,Dây da,50m,,1 năm quốc tế,Vàng,Nhật Bản,
896,TISSOT,8.163.000,T023.210.16.111.01,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Sapphire,28.2mm x 26mm. Size dÃ¢y 14mm,Thép không gỉ 316L,7.95mm,Dây da,30m,,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
897,LONGINES,112.662.000,L8.110.5.95.6,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,26.5mm,Thép không gỉ 316L/ Vàng 18K,7.3mm,Thép không gỉ 316L/ Vàng 18K,30m,Lịch ngày. Vỏ đính 44 viên kim cương tổng 0.299 carat. E.O.L.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
898,FOSSIL,5.166.000,FS5851,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Mặt kính cứng,44mm,Thép không gỉ mạ công nghệ PVD,,Thép không gỉ mạ công nghệ PVD,50m,Lịch ngày. Chronograph.,2 năm quốc tế,Nâu,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
899,MIDO,27.297.000,M026.430.22.051.00,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao sang trọng,Sapphire,42.5mm,Thép không gỉ mạ vàng công nghệ PVD,11.8mm,Thép không gỉ 316L mạ vàng công nghệ PVD,200m,"Lịch ngày, lịch thứ. Mido Caliber 80 (base ETA C07.621), 25 chân kính, trữ cót 80h. Sapphire chống lóa.",2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
900,CHARRIOL,36.150.500,ST30CS.560.006,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Sapphire,30mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,Mặt khảm trai.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
901,LONGINES,55.630.800,L2.833.4.93.2,Nam,Mặt tròn,Automatic (Máy cơ tự động),Quân đội,Sapphire,38.5mm,Thép không gỉ 316L,12.3mm,Dây da,30m,"Caliber L888, 25.200vph, trữ cót 64h. Swiss Super-LumiNova®.",5 năm quốc tế,Vàng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế).
902,OLYM PIANUS,3.978.000,VUÔNG,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Sapphire,35mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,Lịch ngày,2 năm quốc tế,Đen,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
903,TISSOT,51.903.000,T907.410.16.031.00,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,40mm,Vàng 18K,6.55mm,Dây da,30m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
904,CALVIN KLEIN,4.752.000,25200102,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,38mm,Thép không gỉ mạ vàng công nghệ PVD,8.8mm,Thép không gỉ 316L dạng lưới,30m,,2 năm quốc tế,Hồng,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
905,CITIZEN,6.120.000,EW9820-89D,Nữ,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Mặt kính cứng,23mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,ECO-DRIVE hấp thụ năng lượng từ ánh sáng,1 năm quốc tế,Trắng,Nhật Bản,
906,TISSOT,11.025.000,T063.209.11.058.00,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,31mm,Thép không gỉ 316L,5.15mm,Thép không gỉ 316L,30m,,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
907,LONGINES,49.162.500,L2.320.4.11.6,Nữ,Mặt tròn,Automatic Chronometer (Máy cơ tự động chuẩn COSC),Sang trọng,Sapphire,26mm,Thép không gỉ 316L,10.3mm,Thép không gỉ 316L,30m,"Lịch ngày. Caliber L592.4, 28.800vph, trữ cót 45h. Sapphire chống lóa.",5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
908,TISSOT,9.450.000,T105.309.11.018.00,Nữ,Mặt chữ nhật,Quartz (Máy pin - điện tử),Thời trang,Sapphire,27.5mm - 24mm,Thép không gỉ 316L,7.55mm,Thép không gỉ 316L,30m,Lịch ngày,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
909,SEIKO,5.607.000,SUR450P1,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Sapphire,40.2mm,Thép không gỉ mạ vàng công nghệ PVD,8.4mm,Dây da,100m,"Lịch thứ, lịch ngày.",1 năm quốc tế,Vàng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
910,OLYM PIANUS,4.617.000,OP899832.KNAGS-D,Nam,Mặt tròn,Automatic (Máy cơ tự động),Thể thao,Sapphire,41mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,Lịch ngày,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
911,CALVIN KLEIN,7.011.000,K4G23526,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,30mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
912,CITIZEN,2.992.000,BD0048-80A,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,39mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
913,ORIENT,7.072.000,RA-AK0701S10B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Hiện đại,Mặt kính cứng,40.5mm,Thép không gỉ 316L,,Dây da,30m,"Lịch thứ, Lịch ngày. Cal.F6B22, 21.600vph, 22 chân kính, trữ cót 40h.",1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế).
914,SEIKO,5.427.000,SSB343P1,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Sang trọng,Mặt kính cứng,43.9mm,Thép không gỉ 316L,12.9mm,Thép không gỉ 316L,100m,"lịch ngày, chức năng bấm giờ thể thao",1 năm quốc tế,Trắng,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ). Thay pin miễn phí trọn đời
915,LONGINES,63.393.300,L2.128.5.11.7,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,25.5 mm,Thép không gỉ 316L/ Vàng 18K,9 mm,Thép không gỉ 316L/ Vàng 18K,30m,Lịch ngày,5 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế)
916,FREELOOK,1.872.000,F.1.1094.05,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,33mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,"Mặt khảm trai, đính đá swarovski",2 năm,Nâu,Pháp,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
917,TISSOT,9.657.000,T028.210.11.037.00,Nam,Mặt vuông,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,,Thủy Tinh,,Vàng 18K,,,,Hồng,,
918,CITIZEN,6.460.000,AT2441-08X,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Thể thao,Mặt kính cứng,45mm,Thép không gỉ 316L,12mm,Dây da,100m,Lịch ngày. Chronograph,1 năm quốc tế,Xanh Lá,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế)
919,CASIO,3.176.100,EFV-540D-1AVUDF,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Mặt kính cứng,43.8mm,Thép không gỉ 316L,12.1mm,Thép không gỉ 316L,100m,"lịch ngày, chức năng bấm giờ thể thao",1 năm quốc tế,Đen,Nhật Bản,5 Năm ( Đã bao gồm bảo hành Quốc tế ). Thay pin miễn phí trọn đời
920,ROTARY,9.730.000,GS90526/06,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,9.5mm,Dây da,50m,,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm lau dầu bảo dưỡng miễn phí
921,LONGINES,41.245.200,L4.984.4.72.2,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,,Dây da,30m,"Lịch ngày. Caliber L888, 25.200vph, trữ cót 64h.",5 năm quốc tế,Xám,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
922,LONGINES,65.934.000,L2.676.4.78.3,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40.00mm,Thép không gỉ 316L,,Dây da,30 m,Lịch ngày.,5 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
923,ORIENT,11.152.000,RA-AS0005S00B,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,42mm,Thép không gỉ 316L,,Dây da,50m,"ORIENT Automatic Calibre F6L24, 22 Jewels, Made in Japan",1 năm quốc tế,Trắng,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
924,FREDERIQUE CONSTANT,47.659.500,FC-335V6B6,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,40mm,Thép không gỉ 316L,10mm,Dây da,60m,"Lịch ngày. Moonphase. Heart Beat. Caliber FC-335, 26 chân kính. 28.800vph, trữ cót 38h.",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
925,DANIEL WELLINGTON,4.905.000,DW00100613,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Mặt kính cứng,28mm,Thép không gỉ mạ vàng công nghệ PVD,6mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,2 năm quốc tế,Khảm trai,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
926,CITIZEN,2.278.000,BD0041-03E,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,39mm,Thép không gỉ 316L,,Dây da,50m,Lịch ngày.,1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
927,SEIKO,4.662.000,SUJF76P1,Nữ,Mặt vuông,Quartz (Máy pin - điện tử),Sang trọng,Hardlex Crystal,22mm x 15mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
928,TISSOT,18.270.000,T067.417.33.041.01,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Sapphire,41mm - 42mm,Thép không gỉ mạ vàng công nghệ PVD,12.02mm,Thép không gỉ 316L mạ vàng công nghệ PVD,200m,Lịch ngày,2 năm quốc tế,Xanh lam,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
929,TISSOT,11.025.000,T105.309.11.126.00,Nữ,Mặt vuông,Quartz (Máy pin - điện tử),Thời trang,Sapphire,27.5mm - 24mm,Thép không gỉ 316L,7.55mm,Thép không gỉ 316L,30m,Lịch ngày. Mặt đính kim cương tại các vị trí cọc số.,2 năm quốc tế,Khảm trai,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
930,TISSOT,9.612.000,T085.210.36.011.00,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,29.5mm - 28.5mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
931,ORIENT,4.080.000,FUB9B005W0,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,30.5mm,Thép không gỉ 316L,,Dây da,30m,,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
932,ORIENT,4.607.000,RA-SP0002S10B,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Sapphire,39mm,Thép không gỉ 316L,9.4mm,Thép không gỉ 316L,50m,Lịch ngày,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
933,SEIKO,5.832.000,SKA695P1,Nam,Mặt tròn,Kinetic,Sang trọng,Mặt kính cứng,41.5mm,Thép không gỉ 316L,,Thép không gỉ 316L,100m,Lịch ngày.,1 năm quốc tế,Xanh lam,Nhật Bản,
934,OLYM PIANUS,6.705.000,OP990-45ADGSR-X,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,42mm,Thép không gỉ mạ vàng công nghệ PVD,12mm,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ.",2 năm quốc tế,Xanh lam,Thụy Sỹ,5 Năm ( Đã bao gồm bảo hành Quốc tế ).
935,CITIZEN,5.253.000,AR0010-11A,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Sang trọng,Sapphire,36mm x 36mm,Thép không gỉ 316L,,Dây da,50 m,"ECO- DRIVE, hấp thụ năng lượng từ ánh sáng.",1 năm quốc tế,Trắng,Nhật Bản,
936,ORIENT,11.288.000,SAK00001Y0,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Sapphire,42.5mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,50m,"Lịch ngày, lịch thứ, Lịch 24h (Sun and Moon)",1 năm quốc tế,Trắng,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
937,SEIKO,6.435.000,SRP706K1,Nam,Mặt tròn,Automatic (Máy cơ tự động),Sang trọng,Mặt kính cứng,42mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,100m,Lịch ngày.,1 năm quốc tế,Đen,Nhật Bản,5 năm lau dầu bảo dưỡng miễn phí
938,MIDO,24.192.000,M039.207.11.106.00,Nữ,Mặt tròn,Automatic (Máy cơ tự động),Thời trang,Sapphire,33mm,Thép không gỉ 316L,9.89mm,Thép không gỉ 316L,50m,"Lịch ngày, Đính 3 viên kim cương (0,051 ct)",2 năm quốc tế,Khảm trai,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời
939,LONGINES,99.618.300,L2.142.0.70.4,Nữ,Tonneau,Automatic (Máy cơ tự động),Sang trọng,Sapphire,23.3mm - 19.6mm,Thép không gỉ 316L,8.6mm,Thép không gỉ 316L,30m,"Lịch ngày, vành đính kim cương",2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế)
940,CITIZEN,15.895.000,BN2036-14E,Nam,Mặt tròn,Eco-Drive (Năng lượng ánh sáng),Thể thao,Mặt kính cứng,46.1mm,Thép không gỉ 316L,16.4mm,Dây cao su,200m,"Lịch ngày. Depth Meter, Maximum Depth Memory Display, Automatic Water Sensor.",1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế).
941,FOSSIL,3.888.000,ES4318,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Mặt kính cứng,32mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,Lịch ngày.,2 năm quốc tế,Hồng,Mỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
942,DANIEL WELLINGTON,3.850.200,DW00100442,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Mặt kính cứng,24mm,Thép không gỉ 316L,6mm,Thép không gỉ 316L dạng lưới,30m,,2 năm quốc tế,Trắng,Thụy Điển,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
943,FREDERIQUE CONSTANT,18.615.000,FC-259ST5B5,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,40mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,50m,"FC-259 caliber, quartz. 5 jewel. Tặng kèm 01 dây dù.",2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
944,CITIZEN,2.295.000,BD0030-00A,Nam,Mặt vuông,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,31mm x 39mm,Thép không gỉ 316L,,Dây da,30 m,Lịch ngày.,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
945,CANDINO,3.835.000,C4575/2,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,27mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,,2 năm quốc tế,Vàng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
946,LONGINES,31.050.000,L4.755.4.95.2,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,36mm,Thép không gỉ 316L,5.2mm,Dây da,30m,Dây da cá sấu.,2 năm quốc tế,Xanh lam,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
947,TISSOT,13.734.000,T031.210.33.053.00,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Sapphire,28mm,Thép không gỉ mạ vàng công nghệ PVD,6.15mm,Thép không gỉ 316L mạ vàng công nghệ PVD,30 m,Lịch ngày.,2 năm quốc tế,Đen,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
948,CHARRIOL,35.190.000,AMS.51A.002,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Thời trang,Sapphire,34mm,Thép không gỉ 316L,,Thép không gỉ 316L,30m,Lịch ngày.,2 năm quốc tế,Trắng,Thụy Sĩ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
949,SEIKO,Liên hệ,SRZ480P1,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Hardlex Crystal,29.6mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,50m,,1 năm quốc tế,Trắng,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
950,SEIKO,6.057.000,SSB409P1,Nam,Mặt tròn,Quartz Chronograph (Máy pin bấm giờ thể thao),Thể thao,Hardlex Crystal,41mm,Thép không gỉ 316L,12.3mm,Dây dù,100m,Lịch ngày. Chronogaph. Tachymeter.,1 năm quốc tế,Xanh lam,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
951,CITIZEN,2.414.000,BF2010-54E,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,41mm,Thép không gỉ 316L,,Thép không gỉ 316L,50m,"Lịch ngày, lịch thứ.",1 năm quốc tế,Đen,Nhật Bản,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
952,ROTARY,3.205.000,LB02572/01,Nữ,Mặt tròn,Quartz (Máy pin - điện tử),Sang trọng,Mặt kính cứng,26.5mm,Thép không gỉ mạ vàng công nghệ PVD,,Thép không gỉ 316L mạ vàng công nghệ PVD,30m,,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
953,OLYM PIANUS,2.223.000,OP130-06MK-GL-T,Nam,Mặt tròn,Quartz (Máy pin - điện tử),Hiện đại,Sapphire,39mm,Thép không gỉ mạ vàng công nghệ PVD,,Dây da,30m,Lịch ngày,2 năm quốc tế,Trắng,Thụy Sỹ,5 năm (đã bao gồm Bảo hành Quốc tế). Thay pin miễn phí trọn đời.
